month_day,n_years_with_data,tmax_record_high,tmax_record_high_years,tmax_record_low,tmax_record_low_years,tmean_record_high,tmean_record_high_years,tmean_record_low,tmean_record_low_years,tmin_record_high,tmin_record_high_years,tmin_record_low,tmin_record_low_years,precip_record_high,precip_record_high_years
09-01,153,34.8,2010,21.0,1903,29.1,2010,14.8,1880,25.1,2010,11.5,1961,55.0,1891
09-02,153,33.1,2007,19.8,1903,26.9,"1938, 2023",15.7,1903,23.7,2023,12.2,1987,71.6,1958
09-03,153,32.7,"1908, 1938",19.6,1903,27.8,1938,15.4,1903,23.7,1938,11.0,1987,65.0,1991
09-04,153,35.2,2020,19.9,"1914, 1936",28.8,2020,15.2,1906,24.0,2022,10.8,1914,176.8,1907
09-05,153,32.5,2020,19.3,1906,26.9,2007,13.7,1930,23.6,2020,10.0,1906,57.8,1898
09-06,153,33.7,1938,17.7,2013,27.4,1938,14.6,1905,23.3,1929,9.2,1930,120.9,2006
09-07,153,34.2,1909,15.1,1930,28.4,1909,13.3,1930,24.6,2007,8.6,2003,67.0,1879
09-08,153,32.5,1909,19.4,1911,27.3,1909,14.3,1911,23.5,1938,10.0,1993,165.0,1891
09-09,153,31.0,1986,17.7,1929,25.9,1934,14.4,1898,23.3,1909,8.8,1970,80.8,1954
09-10,153,32.5,1952,18.2,1975,26.5,1952,14.3,1975,21.3,"1957, 2024",8.7,1991,91.2,2014
09-11,153,34.3,2024,16.7,1975,28.2,2024,13.8,1975,23.5,2024,11.1,1988,159.8,1975
09-12,153,36.0,1899,18.6,1975,28.9,1899,13.8,1975,23.6,2024,9.3,1997,143.0,1989
09-13,153,31.0,2017,17.5,1929,26.3,2017,13.3,1929,23.1,2017,8.7,1911,60.2,2003
09-14,153,32.0,1918,17.4,"1907, 1929",25.7,1918,12.4,1907,21.4,2020,8.0,1989,69.1,1961
